group	condition	auroc	auprc	f1	accuracy	mcc	drop_from_full
Candida	full	0.7127	0.7195	0.4393	0.6053	0.2612	0.0000
Candida	mode_b	0.7127	0.7195	0.4393	0.6053	0.2612	0.0000
Candida	no_gtf	0.6111	0.6357	0.5468	0.5855	0.1736	0.1016
Candida	no_genome	0.7266	0.7451	0.2762	0.5691	0.2352	-0.0139
Candida	no_species	0.7127	0.7195	0.4393	0.6053	0.2612	0.0000
Candida	no_junction	0.7010	0.7379	0.1576	0.5428	0.2114	0.0117
Candida	no_expression	0.5091	0.5956	0.0000	0.5000	0.0000	0.2036
Candida	all_zero	0.5000	0.5000	0.0000	0.5000	0.0000	0.2127
Cryptococcus	full	0.6927	0.7069	0.3642	0.5975	0.2827	0.0000
Cryptococcus	mode_b	0.6927	0.7069	0.3642	0.5975	0.2827	0.0000
Cryptococcus	no_gtf	0.5511	0.5393	0.2735	0.5101	0.0240	0.1417
Cryptococcus	no_genome	0.7124	0.7337	0.1585	0.5408	0.1866	-0.0197
Cryptococcus	no_species	0.6927	0.7069	0.3642	0.5975	0.2827	0.0000
Cryptococcus	no_junction	0.6807	0.7067	0.2792	0.5735	0.2488	0.0120
Cryptococcus	no_expression	0.5144	0.5783	0.0000	0.4995	-0.0437	0.1783
Cryptococcus	all_zero	0.4945	0.4964	0.0000	0.5014	0.0000	0.1983
Filamentous	full	0.6796	0.6687	0.4264	0.6034	0.2595	0.0000
Filamentous	mode_b	0.6796	0.6687	0.4264	0.6034	0.2595	0.0000
Filamentous	no_gtf	0.6201	0.6273	0.3659	0.5663	0.1679	0.0596
Filamentous	no_genome	0.6780	0.6636	0.2186	0.5451	0.1579	0.0016
Filamentous	no_species	0.6796	0.6687	0.4264	0.6034	0.2595	0.0000
Filamentous	no_junction	0.6444	0.6251	0.1679	0.5270	0.1006	0.0352
Filamentous	no_expression	0.5229	0.5914	0.0000	0.5016	0.0000	0.1568
Filamentous	all_zero	0.5033	0.4999	0.0000	0.5016	0.0000	0.1763
