group	cv_condition	auroc	auprc	f1	accuracy	mcc	note
Candida	full (CircExp+GeneExp)	1.0000	1.0000	1.0000	1.0000	1.0000	no perturbation
Candida	shuffle CircExp	1.0000	1.0000	1.0000	1.0000	1.0000	shuffle CircExp only
Candida	shuffle GeneExp	1.0000	1.0000	1.0000	1.0000	1.0000	shuffle GeneExp only
Candida	zero both	0.6705	0.7186	0.0637	0.5164	0.1293	zero CircExp+GeneExp
Candida	no expression	0.6446	0.6846	0.5585	0.6151	0.2382	skip ExpressionEncoder
Cryptococcus	full (CircExp+GeneExp)	1.0000	1.0000	0.9990	0.9990	0.9981	no perturbation
Cryptococcus	shuffle CircExp	1.0000	1.0000	1.0000	1.0000	1.0000	shuffle CircExp only
Cryptococcus	shuffle GeneExp	0.9999	0.9999	0.9990	0.9990	0.9981	shuffle GeneExp only
Cryptococcus	zero both	0.7038	0.7382	0.0598	0.5168	0.1253	zero CircExp+GeneExp
Cryptococcus	no expression	0.6557	0.6810	0.6260	0.6292	0.2584	skip ExpressionEncoder
Filamentous	full (CircExp+GeneExp)	0.9938	0.9937	0.9850	0.9852	0.9703	no perturbation
Filamentous	shuffle CircExp	0.9974	0.9959	0.9883	0.9883	0.9767	shuffle CircExp only
Filamentous	shuffle GeneExp	0.9937	0.9936	0.9850	0.9852	0.9703	shuffle GeneExp only
Filamentous	zero both	0.7051	0.7243	0.1409	0.5345	0.1619	zero CircExp+GeneExp
Filamentous	no expression	0.7105	0.7031	0.6531	0.6575	0.3150	skip ExpressionEncoder
